iter	Passed	Remaining
427	1630	2178
428	1632	2173
429	1635	2168
430	1638	2163
431	1641	2158
432	1644	2153
433	1647	2148
434	1649	2142
435	1652	2138
436	1656	2133
437	1659	2128
438	1661	2123
439	1664	2118
440	1667	2113
441	1670	2108
442	1673	2103
443	1676	2098
444	1678	2093
445	1681	2088
446	1684	2083
447	1687	2078
448	1689	2073
449	1691	2067
450	1694	2062
451	1698	2059
452	1701	2054
453	1703	2048
454	1706	2043
455	1708	2038
456	1713	2036
457	1716	2030
458	1718	2025
459	1721	2020
460	1723	2015
461	1726	2010
462	1728	2005
463	1732	2001
464	1734	1996
465	1737	1990
466	1740	1986
467	1743	1981
468	1746	1977
469	1748	1971
470	1750	1966
471	1753	1961
472	1755	1956
473	1758	1951
474	1761	1947
475	1764	1942
476	1766	1937
477	1769	1932
478	1773	1928
479	1776	1924
480	1779	1919
481	1782	1915
482	1786	1911
483	1789	1908
484	1792	1903
485	1795	1899
486	1798	1894
487	1803	1892
488	1807	1888
489	1809	1883
490	1812	1878
491	1815	1874
492	1819	1871
493	1823	1867
494	1828	1865
495	1831	1860
496	1834	1856
497	1836	1851
498	1839	1847
499	1842	1842
500	1844	1837
501	1847	1832
502	1850	1828
503	1854	1824
504	1857	1820
505	1859	1815
506	1862	1811
507	1865	1806
508	1868	1802
509	1870	1797
510	1873	1793
511	1876	1788
512	1882	1787
513	1885	1782
514	1888	1778
515	1890	1773
516	1893	1769
517	1896	1765
518	1899	1760
519	1902	1756
520	1905	1751
521	1908	1747
522	1910	1742
523	1912	1737
524	1915	1733
525	1918	1728
526	1920	1723
527	1923	1719
528	1925	1714
529	1928	1709
530	1930	1704
531	1932	1700
532	1934	1695
533	1937	1690
534	1940	1686
535	1943	1682
536	1946	1677
537	1948	1673
538	1950	1668
539	1953	1663
540	1956	1659
541	1958	1654
542	1960	1650
543	1963	1645
544	1965	1640
545	1968	1636
546	1970	1631
547	1972	1627
548	1975	1622
549	1978	1618
550	1980	1614
551	1983	1609
552	1986	1605
553	1989	1601
554	1991	1596
555	1994	1592
556	1996	1588
557	2000	1584
558	2002	1580
559	2005	1575
560	2008	1571
561	2012	1568
562	2015	1564
563	2018	1560
564	2022	1556
565	2025	1553
566	2029	1549
567	2032	1545
568	2035	1542
569	2039	1538
570	2042	1534
571	2046	1531
572	2050	1527
573	2053	1524
574	2057	1520
575	2061	1517
576	2064	1513
577	2068	1509
578	2071	1506
579	2075	1503
580	2079	1499
581	2081	1495
582	2084	1491
583	2087	1487
584	2090	1483
585	2093	1479
586	2096	1475
587	2099	1470
588	2102	1466
589	2105	1463
590	2108	1459
591	2111	1455
592	2115	1451
593	2118	1448
594	2122	1444
595	2125	1440
596	2128	1437
597	2133	1434
598	2136	1430
599	2139	1426
600	2142	1422
601	2146	1418
602	2150	1415
603	2153	1411
604	2156	1408
605	2160	1404
606	2164	1401
607	2167	1397
608	2170	1393
609	2173	1389
610	2176	1385
611	2180	1382
612	2183	1378
613	2186	1374
614	2190	1371
615	2193	1367
616	2197	1364
617	2200	1360
618	2204	1356
619	2208	1353
620	2211	1349
621	2215	1346
622	2219	1342
623	2223	1339
624	2226	1335
625	2229	1332
626	2233	1328
627	2237	1325
628	2240	1321
629	2244	1318
630	2247	1314
631	2250	1310
632	2254	1307
633	2257	1303
634	2260	1299
635	2263	1295
636	2267	1292
637	2270	1288
638	2274	1285
639	2278	1281
640	2282	1278
641	2285	1274
642	2289	1271
643	2292	1267
644	2296	1264
645	2300	1260
646	2303	1257
647	2307	1253
648	2311	1250
649	2315	1246
650	2318	1242
651	2321	1239
652	2325	1235
653	2328	1232
654	2332	1228
655	2335	1224
656	2338	1221
657	2344	1218
658	2349	1215
659	2352	1211
660	2356	1208
661	2360	1205
662	2364	1201
663	2366	1197
664	2369	1193
665	2374	1190
666	2377	1186
667	2380	1182
668	2383	1179
669	2387	1175
670	2390	1172
671	2395	1169
672	2398	1165
673	2402	1161
674	2405	1158
675	2407	1154
676	2410	1150
677	2414	1146
678	2417	1142
679	2420	1139
680	2423	1135
681	2426	1131
682	2429	1127
683	2431	1123
684	2434	1119
685	2437	1115
686	2440	1112
687	2443	1108
688	2446	1104
689	2449	1100
690	2452	1096
691	2455	1092
692	2457	1088
693	2460	1084
694	2463	1081
695	2466	1077
696	2469	1073
697	2472	1069
698	2476	1066
699	2480	1062
700	2483	1059
701	2486	1055
702	2490	1052
703	2494	1048
704	2497	1045
705	2501	1041
706	2504	1037
707	2508	1034
708	2512	1031
709	2516	1027
710	2520	1024
711	2524	1021
712	2528	1017
713	2531	1013
714	2534	1010
715	2539	1007
716	2542	1003
717	2546	1000
718	2549	996
719	2552	992
720	2555	988
721	2557	984
722	2560	980
723	2563	977
724	2566	973
725	2569	969
726	2572	966
727	2575	962
728	2578	958
729	2581	954
730	2584	951
731	2587	947
732	2590	943
733	2592	939
734	2595	935
735	2599	932
736	2601	928
737	2604	924
738	2607	920
739	2610	917
740	2613	913
741	2616	909
742	2619	905
743	2622	902
744	2624	898
745	2627	894
746	2630	890
747	2632	886
748	2635	883
749	2638	879
750	2641	875
751	2643	871
